feature,importance_mean,importance_std
f16,0.05634918642074942,0.0032859669265943893
f01,0.021896312239061765,0.002063140515448865
f19,0.01350738847537336,0.0018249513097533718
f07,0.01239446387468982,0.0015823465815843864
f15,0.009835689873354625,0.0012769203747697451
f08,0.009697107384489612,0.0010034681336196958
f12,0.00930208551300824,0.0007452734942263588
f30,0.008723681981685705,0.0008100708662297889
f18,0.008359907930529398,0.0007504006226267934
f29,0.007975049572036352,0.001443576442373838
f23,0.007665042497434138,0.0017041083618796731
f13,0.0073512490160323575,0.0010606625902638462
f05,0.006880698293127629,0.0009066364959624315
f34,0.006129116471865903,0.0009696804706856677
f33,0.0049335286322103045,0.0006260598970977627
f11,0.0038380215028048894,0.0006952887112971761
f09,0.0036682310505285363,0.0006313592342172433
f02,0.002756783148496811,0.0014135453219635734
f14,0.002625693759403713,0.0013620927123631258
f35,0.0019935232515269964,0.00038694753906422984
f04,0.001839237138672145,0.001000608690324208
f22,0.0013046363554837681,0.0008530886330294838
x_int_1,0.0012556522085711674,0.0004705377724368543
f25,0.0005352783507208692,0.00021709040470708986
f28,0.0003927898843152589,0.0002399262557841581
f24,0.0003679988840063375,0.00023275468786546733
x_int_2,0.00033288494305436787,0.00065120654313207
f20,0.00010247212507091819,0.00017753545820093692
f21,6.966988511240003e-05,0.0002601187996214541
f06,5.41256887771846e-05,0.0001943163157251832
f27,2.0167598321974012e-05,0.0002999608233352825
f32,5.181398778308921e-06,0.00019657242340138974
f31,-4.966171444521494e-05,0.0001936325165868354
f17,-0.00011367191781511688,0.00030178373820936914
f03,-0.00035261411532602207,0.0003934873495213187
f10,-0.00036014707201150744,0.000248593050327555
f26,-0.0004376289122052679,0.0002827809685168023
